,日期,未加收益总额,当天收益,增加收益总额
126,20160606.0,2500.0,0.0,2500.0
127,20160607.0,2500.0,0.0,2500.0
128,20160608.0,2500.0,0.0,2500.0
129,20160609.0,2500.0,0.0,2500.0
130,20160610.0,2500.0,0.0,2500.0
131,20160611.0,2500.0,0.0,2500.0
132,20160612.0,2500.0,0.0,2500.0
133,20160613.0,2500.0,0.0,2500.0
134,20160614.0,2500.0,0.0,2500.0
135,20160615.0,2500.0,0.0,2500.0
136,20160616.0,2500.0,0.0,2500.0
137,20160617.0,2500.0,0.0,2500.0
138,20160618.0,2500.0,0.0,2500.0
139,20160619.0,2500.0,0.0,2500.0
140,20160620.0,2500.0,0.0,2500.0
141,20160621.0,2500.0,0.0,2500.0
142,20160622.0,2500.0,0.0,2500.0
143,20160623.0,2500.0,0.0,2500.0
144,20160624.0,2500.0,0.0,2500.0
145,20160625.0,2500.0,0.0,2500.0
146,20160626.0,2500.0,0.0,2500.0
147,20160627.0,2500.0,0.0,2500.0
148,20160628.0,2500.0,0.0,2500.0
149,20160629.0,2500.0,0.0,2500.0
150,20160630.0,2500.0,0.0,2500.0
151,20160701.0,2500.0,0.0,2500.0
152,20160702.0,2500.0,0.0,2500.0
153,20160703.0,2500.0,0.0,2500.0
154,20160704.0,2500.0,0.0,2500.0
155,20160705.0,2500.0,0.0,2500.0
156,20160706.0,2500.0,0.0,2500.0
157,20160707.0,2500.0,0.0,2500.0
158,20160708.0,2500.0,0.0,2500.0
159,20160709.0,2500.0,0.0,2500.0
160,20160710.0,2500.0,0.0,2500.0
161,20160711.0,2500.0,0.0,2500.0
162,20160712.0,2500.0,0.0,2500.0
163,20160713.0,2500.0,0.0,2500.0
164,20160714.0,2500.0,0.0,2500.0
165,20160715.0,2500.0,0.0,2500.0
166,20160716.0,2500.0,0.0,2500.0
167,20160717.0,2500.0,0.0,2500.0
168,20160718.0,2500.0,0.0,2500.0
169,20160719.0,2500.0,0.0,2500.0
170,20160720.0,2500.0,0.0,2500.0
171,20160721.0,2500.0,0.0,2500.0
172,20160722.0,2500.0,0.0,2500.0
173,20160723.0,2500.0,0.0,2500.0
174,20160724.0,2500.0,0.0,2500.0
175,20160725.0,2500.0,0.0,2500.0
176,20160726.0,2500.0,0.0,2500.0
177,20160727.0,2500.0,0.0,2500.0
178,20160728.0,2500.0,0.0,2500.0
179,20160729.0,2500.0,0.0,2500.0
